# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 5000000 p6 p73 300 N 
61.0000 M2 5000000 p92 p13 300 N 
86.0000 M3 5000000 p16 p38 300 N 
114.0000 M4 5000000 p44 p42 300 N 
142.0000 M5 5000000 p25 p91 300 N 
174.0000 M6 5000000 p52 p33 300 N 
200.0000 M7 5000000 p40 p91 300 N 
228.0000 M8 5000000 p89 p65 300 N 
261.0000 M9 5000000 p24 p42 300 N 
286.0000 M10 5000000 p70 p6 300 N 
314.0000 M11 5000000 p97 p36 300 N 
342.0000 M12 5000000 p67 p68 300 N 
367.0000 M13 5000000 p35 p41 300 N 
396.0000 M14 5000000 p26 p79 300 N 
428.0000 M15 5000000 p83 p57 300 N 
460.0000 M16 5000000 p83 p40 300 N 
486.0000 M17 5000000 p39 p48 300 N 
512.0000 M18 5000000 p9 p37 300 N 
541.0000 M19 5000000 p84 p43 300 N 
567.0000 M20 5000000 p10 p96 300 N 
597.0000 M21 5000000 p0 p66 300 N 
631.0000 M22 5000000 p53 p22 300 N 
663.0000 M23 5000000 p61 p11 300 N 
693.0000 M24 5000000 p80 p45 300 N 
721.0000 M25 5000000 p79 p89 300 N 
746.0000 M26 5000000 p89 p36 300 N 
774.0000 M27 5000000 p68 p45 300 N 
802.0000 M28 5000000 p90 p33 300 N 
829.0000 M29 5000000 p12 p65 300 N 
858.0000 M30 5000000 p45 p78 300 N 
883.0000 M31 5000000 p47 p94 300 N 
914.0000 M32 5000000 p98 p52 300 N 
945.0000 M33 5000000 p60 p44 300 N 
973.0000 M34 5000000 p2 p9 300 N 
1001.0000 M35 5000000 p53 p50 300 N 
1034.0000 M36 5000000 p24 p71 300 N 
1068.0000 M37 5000000 p42 p33 300 N 
1093.0000 M38 5000000 p34 p12 300 N 
1122.0000 M39 5000000 p90 p0 300 N 
1152.0000 M40 5000000 p13 p38 300 N 
1182.0000 M41 5000000 p67 p80 300 N 
1209.0000 M42 5000000 p37 p78 300 N 
1240.0000 M43 5000000 p25 p18 300 N 
1266.0000 M44 5000000 p21 p11 300 N 
1297.0000 M45 5000000 p3 p1 300 N 
1323.0000 M46 5000000 p92 p74 300 N 
1348.0000 M47 5000000 p2 p40 300 N 
1374.0000 M48 5000000 p91 p85 300 N 
1405.0000 M49 5000000 p69 p48 300 N 
1436.0000 M50 5000000 p40 p53 300 N 
1469.0000 M51 5000000 p78 p23 300 N 
1499.0000 M52 5000000 p60 p47 300 N 
1528.0000 M53 5000000 p80 p77 300 N 
1559.0000 M54 5000000 p4 p80 300 N 
1592.0000 M55 5000000 p45 p51 300 N 
1622.0000 M56 5000000 p64 p18 300 N 
1656.0000 M57 5000000 p92 p47 300 N 
1687.0000 M58 5000000 p56 p96 300 N 
1719.0000 M59 5000000 p69 p11 300 N 
1745.0000 M60 5000000 p91 p4 300 N 
1779.0000 M61 5000000 p34 p57 300 N 
1804.0000 M62 5000000 p26 p96 300 N 
1830.0000 M63 5000000 p50 p32 300 N 
1858.0000 M64 5000000 p38 p71 300 N 
1892.0000 M65 5000000 p22 p70 300 N 
1923.0000 M66 5000000 p11 p14 300 N 
1948.0000 M67 5000000 p1 p52 300 N 
1980.0000 M68 5000000 p41 p72 300 N 
2014.0000 M69 5000000 p91 p17 300 N 
2045.0000 M70 5000000 p44 p39 300 N 
2077.0000 M71 5000000 p36 p72 300 N 
2106.0000 M72 5000000 p85 p17 300 N 
2132.0000 M73 5000000 p75 p3 300 N 
2165.0000 M74 5000000 p15 p68 300 N 
2198.0000 M75 5000000 p81 p46 300 N 
2230.0000 M76 5000000 p52 p45 300 N 
2255.0000 M77 5000000 p74 p89 300 N 
2280.0000 M78 5000000 p82 p20 300 N 
2314.0000 M79 5000000 p8 p10 300 N 
2339.0000 M80 5000000 p54 p63 300 N 
2373.0000 M81 5000000 p62 p56 300 N 
2406.0000 M82 5000000 p91 p42 300 N 
2439.0000 M83 5000000 p4 p46 300 N 
2466.0000 M84 5000000 p75 p61 300 N 
2491.0000 M85 5000000 p60 p88 300 N 
2518.0000 M86 5000000 p77 p73 300 N 
2547.0000 M87 5000000 p35 p76 300 N 
2576.0000 M88 5000000 p41 p26 300 N 
2610.0000 M89 5000000 p25 p23 300 N 
2637.0000 M90 5000000 p96 p14 300 N 
2671.0000 M91 5000000 p88 p68 300 N 
2705.0000 M92 5000000 p94 p14 300 N 
2739.0000 M93 5000000 p37 p30 300 N 
2768.0000 M94 5000000 p0 p30 300 N 
2796.0000 M95 5000000 p43 p60 300 N 
2827.0000 M96 5000000 p34 p0 300 N 
2853.0000 M97 5000000 p91 p5 300 N 
2879.0000 M98 5000000 p41 p23 300 N 
2904.0000 M99 5000000 p9 p14 300 N 
2937.0000 M100 5000000 p59 p67 300 N 
2968.0000 M101 5000000 p63 p79 300 N 
2994.0000 M102 5000000 p97 p58 300 N 
3028.0000 M103 5000000 p18 p34 300 N 
3062.0000 M104 5000000 p51 p61 300 N 
3095.0000 M105 5000000 p35 p22 300 N 
3122.0000 M106 5000000 p71 p55 300 N 
3155.0000 M107 5000000 p93 p12 300 N 
3187.0000 M108 5000000 p57 p96 300 N 
3219.0000 M109 5000000 p43 p41 300 N 
3250.0000 M110 5000000 p2 p15 300 N 
3275.0000 M111 5000000 p34 p17 300 N 
3307.0000 M112 5000000 p28 p70 300 N 
3341.0000 M113 5000000 p53 p24 300 N 
3367.0000 M114 5000000 p62 p92 300 N 
3395.0000 M115 5000000 p13 p49 300 N 
3425.0000 M116 5000000 p85 p34 300 N 
3457.0000 M117 5000000 p57 p88 300 N 
3491.0000 M118 5000000 p11 p10 300 N 
3522.0000 M119 5000000 p14 p2 300 N 
3552.0000 M120 5000000 p49 p22 300 N 
3583.0000 M121 5000000 p38 p77 300 N 
3616.0000 M122 5000000 p1 p46 300 N 
3644.0000 M123 5000000 p17 p72 300 N 
3675.0000 M124 5000000 p45 p68 300 N 
3704.0000 M125 5000000 p51 p16 300 N 
3736.0000 M126 5000000 p78 p64 300 N 
3766.0000 M127 5000000 p39 p45 300 N 
3794.0000 M128 5000000 p90 p21 300 N 
3823.0000 M129 5000000 p54 p21 300 N 
3849.0000 M130 5000000 p96 p24 300 N 
3882.0000 M131 5000000 p55 p28 300 N 
3907.0000 M132 5000000 p45 p30 300 N 
3936.0000 M133 5000000 p15 p42 300 N 
3963.0000 M134 5000000 p79 p5 300 N 
3991.0000 M135 5000000 p88 p29 300 N 
4018.0000 M136 5000000 p9 p5 300 N 
4048.0000 M137 5000000 p32 p98 300 N 
4077.0000 M138 5000000 p59 p70 300 N 
4107.0000 M139 5000000 p36 p55 300 N 
4132.0000 M140 5000000 p9 p89 300 N 
4161.0000 M141 5000000 p61 p58 300 N 
4191.0000 M142 5000000 p30 p68 300 N 
4221.0000 M143 5000000 p19 p20 300 N 
4253.0000 M144 5000000 p5 p21 300 N 
4278.0000 M145 5000000 p89 p68 300 N 
4312.0000 M146 5000000 p43 p97 300 N 
4342.0000 M147 5000000 p78 p74 300 N 
4375.0000 M148 5000000 p70 p46 300 N 
4405.0000 M149 5000000 p14 p56 300 N 
4439.0000 M150 5000000 p54 p5 300 N 
4471.0000 M151 5000000 p1 p82 300 N 
4497.0000 M152 5000000 p44 p2 300 N 
4524.0000 M153 5000000 p37 p17 300 N 
4553.0000 M154 5000000 p44 p38 300 N 
4584.0000 M155 5000000 p68 p52 300 N 
4615.0000 M156 5000000 p80 p37 300 N 
4644.0000 M157 5000000 p81 p36 300 N 
4669.0000 M158 5000000 p95 p62 300 N 
4701.0000 M159 5000000 p74 p11 300 N 
4730.0000 M160 5000000 p1 p85 300 N 
4761.0000 M161 5000000 p36 p5 300 N 
4793.0000 M162 5000000 p60 p58 300 N 
4825.0000 M163 5000000 p73 p71 300 N 
4854.0000 M164 5000000 p34 p60 300 N 
4884.0000 M165 5000000 p60 p93 300 N 
4910.0000 M166 5000000 p56 p4 300 N 
4943.0000 M167 5000000 p43 p65 300 N 
4968.0000 M168 5000000 p82 p9 300 N 
5000.0000 M169 5000000 p57 p64 300 N 
5030.0000 M170 5000000 p59 p26 300 N 
5057.0000 M171 5000000 p76 p6 300 N 
5084.0000 M172 5000000 p87 p15 300 N 
5115.0000 M173 5000000 p7 p61 300 N 
5146.0000 M174 5000000 p5 p14 300 N 
5172.0000 M175 5000000 p14 p30 300 N 
5202.0000 M176 5000000 p55 p77 300 N 
5236.0000 M177 5000000 p77 p48 300 N 
5270.0000 M178 5000000 p31 p74 300 N 
5297.0000 M179 5000000 p40 p88 300 N 
5323.0000 M180 5000000 p27 p61 300 N 
5350.0000 M181 5000000 p10 p33 300 N 
5383.0000 M182 5000000 p71 p8 300 N 
5412.0000 M183 5000000 p53 p86 300 N 
5441.0000 M184 5000000 p41 p91 300 N 
5472.0000 M185 5000000 p48 p41 300 N 
5497.0000 M186 5000000 p21 p65 300 N 
5527.0000 M187 5000000 p67 p17 300 N 
5554.0000 M188 5000000 p39 p83 300 N 
5579.0000 M189 5000000 p83 p95 300 N 
5607.0000 M190 5000000 p50 p83 300 N 
5634.0000 M191 5000000 p17 p46 300 N 
5666.0000 M192 5000000 p54 p75 300 N 
5697.0000 M193 5000000 p58 p18 300 N 
5729.0000 M194 5000000 p81 p20 300 N 
5759.0000 M195 5000000 p70 p28 300 N 
5789.0000 M196 5000000 p84 p20 300 N 
5823.0000 M197 5000000 p47 p42 300 N 
5855.0000 M198 5000000 p69 p87 300 N 
5880.0000 M199 5000000 p6 p79 300 N 
5910.0000 M200 5000000 p32 p17 300 N 
5936.0000 M201 5000000 p54 p25 300 N 
5969.0000 M202 5000000 p28 p50 300 N 
5995.0000 M203 5000000 p47 p42 300 N 
6026.0000 M204 5000000 p16 p55 300 N 
6058.0000 M205 5000000 p57 p86 300 N 
6090.0000 M206 5000000 p48 p94 300 N 
6119.0000 M207 5000000 p39 p91 300 N 
6151.0000 M208 5000000 p8 p25 300 N 
6185.0000 M209 5000000 p50 p45 300 N 
6212.0000 M210 5000000 p86 p60 300 N 
6246.0000 M211 5000000 p31 p48 300 N 
6278.0000 M212 5000000 p79 p45 300 N 
6307.0000 M213 5000000 p50 p23 300 N 
6333.0000 M214 5000000 p44 p58 300 N 
6363.0000 M215 5000000 p39 p16 300 N 
6391.0000 M216 5000000 p95 p46 300 N 
6416.0000 M217 5000000 p46 p7 300 N 
6450.0000 M218 5000000 p89 p90 300 N 
6477.0000 M219 5000000 p83 p67 300 N 
6511.0000 M220 5000000 p2 p9 300 N 
6544.0000 M221 5000000 p65 p53 300 N 
6578.0000 M222 5000000 p92 p64 300 N 
6610.0000 M223 5000000 p85 p62 300 N 
6641.0000 M224 5000000 p7 p45 300 N 
6674.0000 M225 5000000 p53 p38 300 N 
6700.0000 M226 5000000 p68 p69 300 N 
6726.0000 M227 5000000 p89 p56 300 N 
6757.0000 M228 5000000 p24 p87 300 N 
6790.0000 M229 5000000 p28 p45 300 N 
6821.0000 M230 5000000 p95 p27 300 N 
6849.0000 M231 5000000 p6 p21 300 N 
6882.0000 M232 5000000 p19 p94 300 N 
6915.0000 M233 5000000 p66 p76 300 N 
6945.0000 M234 5000000 p63 p11 300 N 
6974.0000 M235 5000000 p55 p7 300 N 
7007.0000 M236 5000000 p67 p31 300 N 
7041.0000 M237 5000000 p94 p62 300 N 
7070.0000 M238 5000000 p57 p73 300 N 
7101.0000 M239 5000000 p0 p34 300 N 
7128.0000 M240 5000000 p92 p60 300 N 
7157.0000 M241 5000000 p7 p54 300 N 
7191.0000 M242 5000000 p57 p46 300 N 
7216.0000 M243 5000000 p47 p9 300 N 
7241.0000 M244 5000000 p81 p24 300 N 
7270.0000 M245 5000000 p46 p3 300 N 
7295.0000 M246 5000000 p54 p49 300 N 
7327.0000 M247 5000000 p98 p24 300 N 
7354.0000 M248 5000000 p54 p98 300 N 
7384.0000 M249 5000000 p49 p37 300 N 
7413.0000 M250 5000000 p28 p48 300 N 
7444.0000 M251 5000000 p83 p27 300 N 
7476.0000 M252 5000000 p14 p0 300 N 
7510.0000 M253 5000000 p70 p49 300 N 
7542.0000 M254 5000000 p18 p98 300 N 
7570.0000 M255 5000000 p30 p86 300 N 
7598.0000 M256 5000000 p51 p6 300 N 
7630.0000 M257 5000000 p22 p76 300 N 
7657.0000 M258 5000000 p52 p61 300 N 
7691.0000 M259 5000000 p71 p3 300 N 
7725.0000 M260 5000000 p50 p52 300 N 
7754.0000 M261 5000000 p13 p45 300 N 
7780.0000 M262 5000000 p22 p24 300 N 
7809.0000 M263 5000000 p41 p35 300 N 
7841.0000 M264 5000000 p12 p79 300 N 
7870.0000 M265 5000000 p0 p50 300 N 
7897.0000 M266 5000000 p2 p40 300 N 
7925.0000 M267 5000000 p57 p81 300 N 
7951.0000 M268 5000000 p60 p16 300 N 
7982.0000 M269 5000000 p10 p27 300 N 
8010.0000 M270 5000000 p3 p97 300 N 
8039.0000 M271 5000000 p89 p91 300 N 
8066.0000 M272 5000000 p54 p25 300 N 
8097.0000 M273 5000000 p84 p93 300 N 
8129.0000 M274 5000000 p27 p75 300 N 
8161.0000 M275 5000000 p55 p97 300 N 
8187.0000 M276 5000000 p31 p5 300 N 
8212.0000 M277 5000000 p87 p2 300 N 
8241.0000 M278 5000000 p18 p80 300 N 
8272.0000 M279 5000000 p74 p85 300 N 
8301.0000 M280 5000000 p39 p21 300 N 
8333.0000 M281 5000000 p48 p7 300 N 
8366.0000 M282 5000000 p57 p9 300 N 
8392.0000 M283 5000000 p66 p23 300 N 
8425.0000 M284 5000000 p97 p89 300 N 
8455.0000 M285 5000000 p87 p80 300 N 
8481.0000 M286 5000000 p7 p16 300 N 
8514.0000 M287 5000000 p28 p43 300 N 
8545.0000 M288 5000000 p92 p68 300 N 
8578.0000 M289 5000000 p50 p62 300 N 
8612.0000 M290 5000000 p69 p48 300 N 
8639.0000 M291 5000000 p19 p68 300 N 
8669.0000 M292 5000000 p23 p49 300 N 
8700.0000 M293 5000000 p45 p75 300 N 
8731.0000 M294 5000000 p11 p71 300 N 
8760.0000 M295 5000000 p45 p1 300 N 
8790.0000 M296 5000000 p43 p60 300 N 
8823.0000 M297 5000000 p14 p72 300 N 
8848.0000 M298 5000000 p22 p59 300 N 
8873.0000 M299 5000000 p74 p25 300 N 
8901.0000 M300 5000000 p62 p30 300 N 
8926.0000 M301 5000000 p85 p90 300 N 
8957.0000 M302 5000000 p36 p41 300 N 
8982.0000 M303 5000000 p21 p79 300 N 
9014.0000 M304 5000000 p48 p55 300 N 
9047.0000 M305 5000000 p66 p19 300 N 
9078.0000 M306 5000000 p50 p9 300 N 
9110.0000 M307 5000000 p3 p67 300 N 
9137.0000 M308 5000000 p65 p60 300 N 
9165.0000 M309 5000000 p2 p14 300 N 
9196.0000 M310 5000000 p56 p0 300 N 
9225.0000 M311 5000000 p12 p88 300 N 
9256.0000 M312 5000000 p73 p85 300 N 
9283.0000 M313 5000000 p97 p27 300 N 
9310.0000 M314 5000000 p34 p69 300 N 
9339.0000 M315 5000000 p21 p68 300 N 
9366.0000 M316 5000000 p54 p33 300 N 
9391.0000 M317 5000000 p16 p42 300 N 
9425.0000 M318 5000000 p49 p11 300 N 
9457.0000 M319 5000000 p8 p9 300 N 
9482.0000 M320 5000000 p75 p0 300 N 
9511.0000 M321 5000000 p19 p61 300 N 
9536.0000 M322 5000000 p85 p96 300 N 
9566.0000 M323 5000000 p94 p3 300 N 
9593.0000 M324 5000000 p10 p78 300 N 
9620.0000 M325 5000000 p89 p7 300 N 
9654.0000 M326 5000000 p94 p32 300 N 
9680.0000 M327 5000000 p26 p10 300 N 
9709.0000 M328 5000000 p75 p83 300 N 
9741.0000 M329 5000000 p5 p58 300 N 
9767.0000 M330 5000000 p95 p8 300 N 
9797.0000 M331 5000000 p7 p18 300 N 
9830.0000 M332 5000000 p44 p77 300 N 
9863.0000 M333 5000000 p87 p7 300 N 
9890.0000 M334 5000000 p19 p86 300 N 
9921.0000 M335 5000000 p55 p50 300 N 
9955.0000 M336 5000000 p37 p12 300 N 
9981.0000 M337 5000000 p10 p17 300 N 
10015.0000 M338 5000000 p3 p21 300 N 
10045.0000 M339 5000000 p84 p29 300 N 
10079.0000 M340 5000000 p63 p27 300 N 
10107.0000 M341 5000000 p69 p81 300 N 
10135.0000 M342 5000000 p33 p3 300 N 
10165.0000 M343 5000000 p39 p56 300 N 
10194.0000 M344 5000000 p70 p0 300 N 
10227.0000 M345 5000000 p25 p18 300 N 
10253.0000 M346 5000000 p98 p11 300 N 
