# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 5000000 p13 p6 300 N 
61.0000 M2 5000000 p13 p5 300 N 
86.0000 M3 5000000 p1 p2 300 N 
114.0000 M4 5000000 p14 p3 300 N 
142.0000 M5 5000000 p3 p16 300 N 
174.0000 M6 5000000 p15 p1 300 N 
200.0000 M7 5000000 p15 p5 300 N 
228.0000 M8 5000000 p3 p9 300 N 
261.0000 M9 5000000 p12 p2 300 N 
286.0000 M10 5000000 p10 p3 300 N 
314.0000 M11 5000000 p18 p16 300 N 
340.0000 M12 5000000 p13 p1 300 N 
366.0000 M13 5000000 p10 p6 300 N 
392.0000 M14 5000000 p18 p15 300 N 
420.0000 M15 5000000 p15 p4 300 N 
451.0000 M16 5000000 p11 p1 300 N 
484.0000 M17 5000000 p3 p14 300 N 
510.0000 M18 5000000 p13 p3 300 N 
536.0000 M19 5000000 p0 p5 300 N 
568.0000 M20 5000000 p7 p5 300 N 
602.0000 M21 5000000 p1 p14 300 N 
629.0000 M22 5000000 p18 p0 300 N 
654.0000 M23 5000000 p12 p3 300 N 
681.0000 M24 5000000 p0 p1 300 N 
712.0000 M25 5000000 p4 p11 300 N 
737.0000 M26 5000000 p0 p18 300 N 
764.0000 M27 5000000 p3 p17 300 N 
790.0000 M28 5000000 p17 p9 300 N 
818.0000 M29 5000000 p4 p7 300 N 
843.0000 M30 5000000 p14 p16 300 N 
872.0000 M31 5000000 p7 p14 300 N 
906.0000 M32 5000000 p5 p3 300 N 
937.0000 M33 5000000 p3 p0 300 N 
965.0000 M34 5000000 p3 p6 300 N 
993.0000 M35 5000000 p7 p16 300 N 
1026.0000 M36 5000000 p10 p2 300 N 
1060.0000 M37 5000000 p12 p0 300 N 
1085.0000 M38 5000000 p7 p12 300 N 
1114.0000 M39 5000000 p1 p17 300 N 
1144.0000 M40 5000000 p4 p9 300 N 
1174.0000 M41 5000000 p0 p4 300 N 
1201.0000 M42 5000000 p14 p7 300 N 
1232.0000 M43 5000000 p9 p0 300 N 
1258.0000 M44 5000000 p18 p11 300 N 
1289.0000 M45 5000000 p8 p9 300 N 
1315.0000 M46 5000000 p9 p17 300 N 
1341.0000 M47 5000000 p4 p16 300 N 
1374.0000 M48 5000000 p18 p17 300 N 
1399.0000 M49 5000000 p10 p8 300 N 
1426.0000 M50 5000000 p11 p5 300 N 
1456.0000 M51 5000000 p8 p12 300 N 
1482.0000 M52 5000000 p9 p12 300 N 
1508.0000 M53 5000000 p3 p17 300 N 
1539.0000 M54 5000000 p15 p12 300 N 
1566.0000 M55 5000000 p18 p11 300 N 
1598.0000 M56 5000000 p11 p15 300 N 
1627.0000 M57 5000000 p8 p3 300 N 
1652.0000 M58 5000000 p15 p2 300 N 
1684.0000 M59 5000000 p3 p18 300 N 
1717.0000 M60 5000000 p13 p4 300 N 
1748.0000 M61 5000000 p9 p13 300 N 
1781.0000 M62 5000000 p11 p3 300 N 
1806.0000 M63 5000000 p17 p16 300 N 
1839.0000 M64 5000000 p10 p1 300 N 
1872.0000 M65 5000000 p14 p16 300 N 
1900.0000 M66 5000000 p4 p11 300 N 
1929.0000 M67 5000000 p14 p10 300 N 
1955.0000 M68 5000000 p4 p15 300 N 
1985.0000 M69 5000000 p13 p11 300 N 
2019.0000 M70 5000000 p0 p10 300 N 
2051.0000 M71 5000000 p2 p0 300 N 
2082.0000 M72 5000000 p13 p16 300 N 
2114.0000 M73 5000000 p17 p8 300 N 
2145.0000 M74 5000000 p12 p5 300 N 
2177.0000 M75 5000000 p8 p18 300 N 
2207.0000 M76 5000000 p15 p10 300 N 
2240.0000 M77 5000000 p18 p1 300 N 
2274.0000 M78 5000000 p16 p14 300 N 
2299.0000 M79 5000000 p18 p9 300 N 
2325.0000 M80 5000000 p4 p12 300 N 
2354.0000 M81 5000000 p12 p11 300 N 
2379.0000 M82 5000000 p18 p5 300 N 
2406.0000 M83 5000000 p0 p10 300 N 
2435.0000 M84 5000000 p0 p10 300 N 
2467.0000 M85 5000000 p18 p0 300 N 
2499.0000 M86 5000000 p3 p5 300 N 
2524.0000 M87 5000000 p15 p12 300 N 
2549.0000 M88 5000000 p1 p8 300 N 
2577.0000 M89 5000000 p16 p10 300 N 
2605.0000 M90 5000000 p18 p4 300 N 
2637.0000 M91 5000000 p8 p16 300 N 
2666.0000 M92 5000000 p5 p6 300 N 
2694.0000 M93 5000000 p9 p17 300 N 
2722.0000 M94 5000000 p8 p5 300 N 
2752.0000 M95 5000000 p10 p5 300 N 
2778.0000 M96 5000000 p6 p17 300 N 
2809.0000 M97 5000000 p6 p9 300 N 
2834.0000 M98 5000000 p16 p12 300 N 
2865.0000 M99 5000000 p5 p0 300 N 
2897.0000 M100 5000000 p16 p15 300 N 
2925.0000 M101 5000000 p2 p15 300 N 
2955.0000 M102 5000000 p1 p11 300 N 
2985.0000 M103 5000000 p18 p13 300 N 
3010.0000 M104 5000000 p2 p5 300 N 
3041.0000 M105 5000000 p2 p4 300 N 
3069.0000 M106 5000000 p18 p13 300 N 
3099.0000 M107 5000000 p10 p9 300 N 
3126.0000 M108 5000000 p14 p15 300 N 
3156.0000 M109 5000000 p10 p14 300 N 
3185.0000 M110 5000000 p17 p0 300 N 
3216.0000 M111 5000000 p10 p15 300 N 
3247.0000 M112 5000000 p17 p12 300 N 
3274.0000 M113 5000000 p12 p0 300 N 
3308.0000 M114 5000000 p5 p13 300 N 
3342.0000 M115 5000000 p0 p8 300 N 
3372.0000 M116 5000000 p6 p11 300 N 
3403.0000 M117 5000000 p10 p3 300 N 
3435.0000 M118 5000000 p4 p7 300 N 
3468.0000 M119 5000000 p3 p14 300 N 
3498.0000 M120 5000000 p9 p13 300 N 
3531.0000 M121 5000000 p8 p18 300 N 
3565.0000 M122 5000000 p11 p15 300 N 
3597.0000 M123 5000000 p13 p6 300 N 
3627.0000 M124 5000000 p16 p0 300 N 
3657.0000 M125 5000000 p13 p12 300 N 
3686.0000 M126 5000000 p10 p3 300 N 
3711.0000 M127 5000000 p14 p7 300 N 
3740.0000 M128 5000000 p17 p12 300 N 
3767.0000 M129 5000000 p14 p5 300 N 
3800.0000 M130 5000000 p17 p0 300 N 
3825.0000 M131 5000000 p15 p5 300 N 
3852.0000 M132 5000000 p16 p2 300 N 
3880.0000 M133 5000000 p3 p5 300 N 
3907.0000 M134 5000000 p8 p15 300 N 
3937.0000 M135 5000000 p16 p12 300 N 
3966.0000 M136 5000000 p18 p8 300 N 
3996.0000 M137 5000000 p15 p5 300 N 
