# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
62.1000 M1 5000000 2 30.1000 p13 p6 299 N p13->p4->p6
184.0000 M6 5000000 1 10.0000 p15 p1 299 N p15->p1
324.0000 M11 5000000 1 10.0000 p18 p16 299 N p18->p16
360.0000 M12 5000000 1 20.0000 p13 p1 299 N p13->p1
370.0000 M3 5000000 1 284.0000 p1 p2 295 N p1->p2
402.0000 M14 5000000 1 10.0000 p18 p15 299 N p18->p15
530.0000 M4 5000000 1 416.0000 p14 p3 293 N p14->p3
540.0000 M17 5000000 1 56.0000 p3 p14 299 N p3->p14
540.3000 M2 5000000 1 479.3000 p13 p5 292 N p13->p5
622.2000 M10 5000000 2 336.2000 p10 p3 294 N p10->p2->p3
828.0000 M29 5000000 1 10.0000 p4 p7 299 N p4->p7
860.6000 M18 5000000 2 350.6000 p13 p3 294 N p13->p1->p3
863.6000 M7 5000000 2 663.6000 p15 p5 288 N p15->p18->p5
1051.9000 M35 5000000 1 58.9000 p7 p16 299 N p7->p16
1120.2000 M34 5000000 1 155.2000 p3 p6 297 N p3->p6
1137.8000 M23 5000000 3 483.8000 p12 p3 291 N p12->p11->p18->p3
1189.6000 M41 5000000 1 15.6000 p0 p4 299 N p0->p4
1274.3000 M36 5000000 2 248.3000 p10 p2 295 N p10->p8->p2
1302.6000 M39 5000000 2 188.6000 p1 p17 296 N p1->p16->p17
1334.5000 M9 5000000 2 1073.5000 p12 p2 282 N p12->p4->p2
1347.5000 M44 5000000 1 89.5000 p18 p11 298 N p18->p11
1423.4000 M48 5000000 2 49.4000 p18 p17 299 N p18->p11->p17
1423.9000 M37 5000000 1 363.9000 p12 p0 293 N p12->p0
1524.6000 M42 5000000 2 323.6000 p14 p7 294 N p14->p17->p7
1574.0000 M27 5000000 1 810.0000 p3 p17 286 N p3->p17
1584.0000 M53 5000000 1 76.0000 p3 p17 298 N p3->p17
1608.7000 M50 5000000 2 182.7000 p11 p5 296 N p11->p6->p5
1640.9000 M15 5000000 1 1220.9000 p15 p4 279 N p15->p4
1714.6000 M51 5000000 1 258.6000 p8 p12 295 N p8->p12
1750.4000 M59 5000000 1 66.4000 p3 p18 298 N p3->p18
1770.4000 M32 5000000 2 864.4000 p5 p3 285 N p5->p19->p3
1837.6000 M22 5000000 2 1208.6000 p18 p0 279 N p18->p5->p0
1881.2000 M21 5000000 1 1279.2000 p1 p14 278 N p1->p14
1891.2000 M24 5000000 1 1210.2000 p0 p1 279 N p0->p1
1965.0000 M68 5000000 1 10.0000 p4 p15 299 N p4->p15
2005.0000 M61 5000000 2 257.0000 p9 p13 295 N p9->p16->p13
2102.0000 M69 5000000 1 117.0000 p13 p11 298 N p13->p11
2104.9000 M52 5000000 1 622.9000 p9 p12 289 N p9->p12
2105.0000 M72 5000000 2 23.0000 p13 p16 299 N p13->p1->p16
2115.1000 M64 5000000 1 276.1000 p10 p1 295 N p10->p1
2135.3000 M70 5000000 1 116.3000 p0 p10 298 N p0->p10
2145.3000 M67 5000000 2 216.3000 p14 p10 296 N p14->p0->p10
2160.4000 M58 5000000 1 508.4000 p15 p2 291 N p15->p2
2165.1000 M26 5000000 1 1428.1000 p0 p18 276 N p0->p18
2185.2000 M33 5000000 1 1248.2000 p3 p0 279 N p3->p0
2202.0000 M62 5000000 1 421.0000 p11 p3 292 N p11->p3
2212.0000 M55 5000000 2 646.0000 p18 p11 289 N p18->p3->p11
2316.4000 M46 5000000 1 1001.4000 p9 p17 283 N p9->p17
2329.7000 M76 5000000 2 122.7000 p15 p10 297 N p15->p4->p10
2366.6000 M81 5000000 1 12.6000 p12 p11 299 N p12->p11
2376.2000 M49 5000000 1 977.2000 p10 p8 283 N p10->p8
2426.4000 M66 5000000 1 526.4000 p4 p11 291 N p4->p11
2436.5000 M56 5000000 1 838.5000 p11 p15 286 N p11->p15
2436.5000 M82 5000000 1 57.5000 p18 p5 299 N p18->p5
2442.1000 M80 5000000 1 117.1000 p4 p12 298 N p4->p12
2446.5000 M75 5000000 1 269.5000 p8 p18 295 N p8->p18
2452.1000 M54 5000000 2 913.1000 p15 p12 284 N p15->p4->p12
2453.7000 M57 5000000 2 826.7000 p8 p3 286 N p8->p5->p3
2513.9000 M86 5000000 1 14.9000 p3 p5 299 N p3->p5
2520.0000 M38 5000000 1 1435.0000 p7 p12 276 N p7->p12
2554.0000 M77 5000000 1 314.0000 p18 p1 294 N p18->p1
