# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
52.1000 M1 5000000 2 20.1000 p0 p34 299 N p0->p37->p34
71.0000 M2 5000000 1 10.0000 p35 p4 299 N p35->p4
283.0000 M8 5000000 3 55.0000 p35 p8 299 N p35->p17->p4->p8
306.0000 M5 5000000 3 164.0000 p22 p28 297 N p22->p32->p30->p28
422.2000 M14 5000000 3 30.2000 p11 p2 299 N p11->p14->p17->p2
433.8000 M13 5000000 3 67.8000 p16 p8 298 N p16->p19->p0->p8
440.0000 M15 5000000 1 20.0000 p5 p2 299 N p5->p2
478.7000 M11 5000000 4 164.7000 p4 p16 297 N p4->p17->p5->p3->p16
633.9000 M7 5000000 2 433.9000 p7 p31 292 N p7->p36->p31
692.5000 M10 5000000 2 406.5000 p28 p18 293 N p28->p9->p18
703.4000 M23 5000000 2 40.4000 p6 p37 299 N p6->p4->p37
767.0000 M26 5000000 1 20.0000 p21 p23 299 N p21->p23
803.0000 M19 5000000 2 259.0000 p35 p33 295 N p35->p10->p33
803.1000 M4 5000000 2 689.1000 p26 p15 288 N p26->p34->p15
811.4000 M25 5000000 2 89.4000 p26 p25 298 N p26->p35->p25
844.0000 M29 5000000 1 10.0000 p21 p6 299 N p21->p6
960.1000 M12 5000000 1 620.1000 p17 p1 289 N p17->p1
976.3000 M3 5000000 1 890.3000 p1 p38 285 N p1->p38
981.5000 M17 5000000 3 495.5000 p5 p18 291 N p5->p4->p7->p18
1023.2000 M34 5000000 1 50.2000 p32 p37 299 N p32->p37
1095.0000 M38 5000000 1 10.0000 p24 p25 299 N p24->p25
1186.0000 M41 5000000 1 10.0000 p38 p22 299 N p38->p22
1376.1000 M9 5000000 2 1115.1000 p3 p30 281 N p3->p34->p30
1391.3000 M40 5000000 2 247.3000 p9 p34 295 N p9->p1->p34
1422.7000 M16 5000000 2 970.7000 p28 p20 283 N p28->p30->p20
1423.3000 M21 5000000 1 819.3000 p37 p0 286 N p37->p0
1505.6000 M42 5000000 3 303.6000 p5 p0 294 N p5->p23->p36->p0
1533.7000 M49 5000000 3 124.7000 p25 p9 297 N p25->p2->p3->p9
1681.7000 M30 5000000 1 822.7000 p35 p33 286 N p35->p33
1729.0000 M44 5000000 1 465.0000 p21 p7 292 N p21->p7
1745.2000 M33 5000000 1 798.2000 p16 p35 286 N p16->p35
1769.3000 M27 5000000 1 996.3000 p33 p38 283 N p33->p38
1779.3000 M60 5000000 1 48.3000 p38 p33 299 N p38->p33
1790.5000 M61 5000000 1 26.5000 p34 p7 299 N p34->p7
1796.2000 M46 5000000 1 474.2000 p16 p33 292 N p16->p33
1797.9000 M39 5000000 1 682.9000 p18 p38 288 N p18->p38
1820.0000 M52 5000000 1 326.0000 p11 p33 294 N p11->p33
1840.6000 M37 5000000 1 780.6000 p35 p0 286 N p35->p0
1855.4000 M50 5000000 1 413.4000 p15 p0 293 N p15->p0
1857.1000 M36 5000000 1 830.1000 p5 p27 286 N p5->p27
1869.0000 M53 5000000 3 345.0000 p29 p37 294 N p29->p20->p12->p37
1888.0000 M62 5000000 1 98.0000 p18 p17 298 N p18->p17
1907.9000 M63 5000000 1 90.9000 p36 p14 298 N p36->p14
1909.9000 M65 5000000 2 32.9000 p20 p35 299 N p20->p10->p35
1936.8000 M55 5000000 2 360.8000 p2 p6 293 N p2->p25->p6
1939.7000 M22 5000000 1 1304.7000 p4 p20 278 N p4->p20
1967.3000 M48 5000000 1 590.3000 p10 p30 290 N p10->p30
2066.2000 M35 5000000 1 1068.2000 p24 p32 282 N p24->p32
2076.2000 M45 5000000 1 781.2000 p32 p24 286 N p32->p24
2083.3000 M68 5000000 1 118.3000 p25 p7 298 N p25->p7
2092.7000 M71 5000000 2 30.7000 p2 p6 299 N p2->p12->p6
2104.9000 M58 5000000 1 437.9000 p11 p24 292 N p11->p24
2115.0000 M54 5000000 1 565.0000 p35 p24 290 N p35->p24
2153.1000 M73 5000000 2 30.1000 p10 p35 299 N p10->p11->p35
2225.1000 M76 5000000 1 10.1000 p15 p10 299 N p15->p10
2237.8000 M69 5000000 2 240.8000 p20 p3 295 N p20->p16->p3
2261.3000 M28 5000000 1 1458.3000 p36 p18 275 N p36->p18
2295.3000 M66 5000000 2 386.3000 p28 p4 293 N p28->p1->p4
2309.3000 M74 5000000 3 160.3000 p9 p6 297 N p9->p1->p33->p6
2321.1000 M72 5000000 1 227.1000 p12 p9 296 N p12->p9
2334.7000 M70 5000000 2 303.7000 p28 p26 294 N p28->p13->p26
2437.1000 M81 5000000 2 81.1000 p30 p3 298 N p30->p35->p3
2469.6000 M77 5000000 2 222.6000 p19 p0 296 N p19->p21->p0
2471.1000 M78 5000000 2 199.1000 p23 p2 296 N p23->p7->p2
2518.7000 M83 5000000 4 95.7000 p34 p3 298 N p34->p33->p0->p18->p3
2545.0000 M87 5000000 1 10.0000 p2 p7 299 N p2->p7
2621.5000 M67 5000000 2 681.5000 p8 p23 288 N p8->p31->p23
2627.9000 M86 5000000 1 119.9000 p9 p10 298 N p9->p10
2644.2000 M84 5000000 1 188.2000 p28 p22 296 N p28->p22
2699.3000 M91 5000000 3 45.3000 p15 p5 299 N p15->p29->p10->p5
2719.4000 M24 5000000 1 2031.4000 p36 p2 266 N p36->p2
2758.7000 M79 5000000 1 461.7000 p28 p29 292 N p28->p29
2763.0000 M47 5000000 1 1415.0000 p26 p18 276 N p26->p18
2874.0000 M97 5000000 3 30.0000 p16 p12 299 N p16->p28->p19->p12
2883.6000 M75 5000000 1 701.6000 p3 p5 288 N p3->p5
2885.4000 M85 5000000 1 402.4000 p30 p16 293 N p30->p16
2912.7000 M56 5000000 2 1303.7000 p12 p5 278 N p12->p30->p5
2941.0000 M100 5000000 2 20.0000 p15 p2 299 N p15->p10->p2
3074.3000 M59 5000000 1 1375.3000 p21 p20 277 N p21->p20
3082.2000 M43 5000000 1 1847.2000 p0 p26 269 N p0->p26
3092.2000 M104 5000000 3 51.2000 p13 p26 299 N p13->p12->p14->p26
3169.4000 M90 5000000 2 542.4000 p37 p14 290 N p37->p35->p14
3222.0000 M110 5000000 1 10.0000 p36 p11 299 N p36->p11
3243.3000 M82 5000000 2 853.3000 p32 p20 285 N p32->p6->p20
3280.0000 M112 5000000 1 10.0000 p24 p4 299 N p24->p4
3288.1000 M107 5000000 2 161.1000 p37 p21 297 N p37->p18->p21
3328.5000 M94 5000000 1 572.5000 p19 p18 290 N p19->p18
3408.7000 M99 5000000 2 512.7000 p38 p23 291 N p38->p14->p23
3509.0000 M120 5000000 1 10.0000 p13 p31 299 N p13->p31
3565.4000 M121 5000000 1 35.4000 p26 p35 299 N p26->p35
3582.0000 M122 5000000 1 20.0000 p23 p35 299 N p23->p35
3649.0000 M98 5000000 1 779.0000 p22 p5 287 N p22->p5
3700.4000 M93 5000000 1 978.4000 p10 p17 283 N p10->p17
3714.0000 M64 5000000 1 1865.0000 p11 p7 268 N p11->p7
3770.6000 M119 5000000 3 300.6000 p36 p11 294 N p36->p12->p16->p11
3787.8000 M96 5000000 1 974.8000 p7 p6 283 N p7->p6
3812.0000 M130 5000000 1 10.0000 p13 p18 299 N p13->p18
3850.5000 M80 5000000 1 1519.5000 p14 p25 274 N p14->p25
3893.7000 M103 5000000 1 882.7000 p19 p29 285 N p19->p29
3910.2000 M115 5000000 1 549.2000 p18 p25 290 N p18->p25
3927.1000 M116 5000000 1 540.1000 p9 p13 290 N p9->p13
3927.2000 M134 5000000 1 13.2000 p28 p4 299 N p28->p4
3968.2000 M132 5000000 3 106.2000 p27 p6 298 N p27->p38->p39->p6
4000.3000 M131 5000000 1 171.3000 p17 p25 297 N p17->p25
4058.0000 M114 5000000 1 725.0000 p6 p26 287 N p6->p26
4132.4000 M109 5000000 1 947.4000 p2 p4 284 N p2->p4
4176.9000 M141 5000000 2 55.9000 p32 p19 299 N p32->p39->p19
4204.0000 M135 5000000 2 258.0000 p28 p25 295 N p28->p29->p25
4307.1000 M126 5000000 2 615.1000 p19 p16 289 N p19->p33->p16
4327.0000 M129 5000000 1 551.0000 p36 p9 290 N p36->p9
4409.3000 M137 5000000 1 404.3000 p16 p11 293 N p16->p11
4410.6000 M102 5000000 1 1425.6000 p0 p1 276 N p0->p1
4420.6000 M106 5000000 1 1324.6000 p1 p0 277 N p1->p0
4440.0000 M117 5000000 1 1028.0000 p4 p3 282 N p4->p3
4492.0000 M153 5000000 1 10.0000 p28 p2 299 N p28->p2
4494.9000 M124 5000000 1 864.9000 p21 p38 285 N p21->p38
4502.0000 M143 5000000 1 321.0000 p19 p28 294 N p19->p28
4548.0000 M146 5000000 1 271.0000 p13 p37 295 N p13->p37
4552.0000 M155 5000000 1 10.0000 p2 p28 299 N p2->p28
4647.0000 M158 5000000 1 20.0000 p23 p35 299 N p23->p35
4649.6000 M123 5000000 1 1053.6000 p1 p5 282 N p1->p5
4718.0000 M148 5000000 1 383.0000 p20 p1 293 N p20->p1
4761.0000 M160 5000000 3 73.0000 p1 p25 298 N p1->p13->p31->p25
4807.8000 M113 5000000 1 1506.8000 p5 p20 274 N p5->p20
4831.9000 M157 5000000 1 229.9000 p18 p6 296 N p18->p6
4864.0000 M162 5000000 3 113.0000 p33 p7 298 N p33->p29->p3->p7
4876.0000 M118 5000000 1 1431.0000 p31 p32 276 N p31->p32
4886.0000 M144 5000000 2 675.0000 p27 p32 288 N p27->p31->p32
4934.8000 M165 5000000 2 92.8000 p12 p30 298 N p12->p22->p30
4938.5000 M136 5000000 1 965.5000 p32 p15 283 N p32->p15
5074.8000 M128 5000000 1 1323.8000 p15 p19 277 N p15->p19
5106.2000 M139 5000000 1 1044.2000 p8 p15 282 N p8->p15
5108.2000 M150 5000000 1 718.2000 p24 p6 288 N p24->p6
5129.9000 M169 5000000 3 171.9000 p21 p19 297 N p21->p5->p33->p19
5146.6000 M170 5000000 2 158.6000 p11 p14 297 N p11->p29->p14
5147.2000 M156 5000000 1 574.2000 p17 p4 290 N p17->p4
5184.1000 M173 5000000 2 111.1000 p37 p28 298 N p37->p4->p28
5224.0000 M174 5000000 1 120.0000 p2 p23 297 N p2->p23
5243.3000 M176 5000000 3 83.3000 p31 p35 298 N p31->p15->p14->p35
