# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
169.7000 M2 2000000 1 108.7000 p44 p41 298 N p44->p41
204.0000 M7 2000000 1 4.0000 p19 p42 299 N p19->p42
314.0000 M8 2000000 1 86.0000 p43 p28 298 N p43->p28
318.0000 M11 2000000 1 4.0000 p20 p45 299 N p20->p45
318.8000 M5 2000000 2 176.8000 p43 p4 297 N p43->p16->p4
322.5000 M10 2000000 1 36.5000 p18 p13 299 N p18->p13
408.9000 M3 2000000 4 322.9000 p39 p30 294 N p39->p25->p22->p27->p30
515.8000 M1 2000000 2 483.8000 p14 p4 291 N p14->p5->p4
529.6000 M4 2000000 3 415.6000 p28 p8 293 N p28->p29->p44->p8
599.2000 M16 2000000 3 147.2000 p26 p30 297 N p26->p18->p48->p30
678.1000 M17 2000000 3 192.1000 p30 p1 296 N p30->p12->p14->p1
711.2000 M19 2000000 2 167.2000 p2 p48 297 N p2->p1->p48
713.9000 M6 2000000 1 539.9000 p30 p4 291 N p30->p4
720.7000 M12 2000000 1 380.7000 p23 p6 293 N p23->p6
761.7000 M20 2000000 2 190.7000 p23 p42 296 N p23->p15->p42
770.1000 M14 2000000 2 378.1000 p33 p20 293 N p33->p15->p20
787.0000 M13 2000000 3 421.0000 p2 p23 292 N p2->p21->p45->p23
836.5000 M25 2000000 3 114.5000 p28 p46 298 N p28->p12->p43->p46
858.5000 M26 2000000 2 111.5000 p37 p24 298 N p37->p43->p24
865.8000 M27 2000000 1 92.8000 p1 p44 298 N p1->p44
888.7000 M23 2000000 3 225.7000 p42 p24 296 N p42->p31->p45->p24
916.9000 M30 2000000 1 57.9000 p24 p12 299 N p24->p12
946.2000 M24 2000000 2 258.2000 p26 p34 295 N p26->p13->p34
1006.6000 M29 2000000 1 172.6000 p19 p43 297 N p19->p43
1023.7000 M31 2000000 3 135.7000 p7 p0 297 N p7->p20->p34->p0
1053.4000 M9 2000000 1 792.4000 p44 p40 286 N p44->p40
1072.2000 M34 2000000 2 99.2000 p45 p28 298 N p45->p9->p28
1088.2000 M15 2000000 1 668.2000 p2 p36 288 N p2->p36
1147.8000 M35 2000000 2 149.8000 p7 p1 297 N p7->p49->p1
1168.5000 M37 2000000 4 108.5000 p11 p39 298 N p11->p18->p14->p0->p39
1169.9000 M18 2000000 2 651.9000 p27 p11 289 N p27->p42->p11
1180.0000 M41 2000000 1 4.0000 p9 p35 299 N p9->p35
1210.1000 M42 2000000 2 8.1000 p4 p8 299 N p4->p38->p8
1223.1000 M36 2000000 2 196.1000 p30 p16 296 N p30->p6->p16
1233.4000 M40 2000000 3 89.4000 p4 p3 298 N p4->p38->p25->p3
1276.0000 M28 2000000 2 473.0000 p37 p47 292 N p37->p0->p47
1364.0000 M47 2000000 3 16.0000 p33 p2 299 N p33->p15->p34->p2
1404.7000 M39 2000000 3 289.7000 p2 p3 295 N p2->p29->p39->p3
1509.0000 M52 2000000 1 4.0000 p11 p33 299 N p11->p33
1527.0000 M38 2000000 2 442.0000 p31 p38 292 N p31->p3->p38
1567.0000 M54 2000000 1 4.0000 p26 p6 299 N p26->p6
1591.7000 M22 2000000 2 956.7000 p10 p31 284 N p10->p47->p31
1594.3000 M49 2000000 3 185.3000 p21 p4 296 N p21->p37->p20->p4
1707.5000 M21 2000000 3 1103.5000 p31 p44 281 N p31->p36->p9->p44
1733.0000 M43 2000000 2 498.0000 p25 p26 291 N p25->p43->p26
1753.3000 M51 2000000 3 281.3000 p17 p11 295 N p17->p13->p4->p11
1754.5000 M53 2000000 3 223.5000 p6 p42 296 N p6->p26->p49->p42
1805.1000 M44 2000000 3 541.1000 p2 p31 290 N p2->p36->p24->p31
1826.2000 M56 2000000 2 199.2000 p11 p5 296 N p11->p27->p5
1908.7000 M63 2000000 2 72.7000 p42 p9 298 N p42->p36->p9
1933.9000 M33 2000000 2 986.9000 p13 p18 283 N p13->p48->p18
1952.0000 M32 2000000 3 1037.0000 p11 p32 282 N p11->p22->p6->p32
1957.3000 M65 2000000 2 63.3000 p24 p2 298 N p24->p39->p2
1973.2000 M62 2000000 3 168.2000 p7 p12 297 N p7->p34->p0->p12
1974.0000 M60 2000000 1 234.0000 p3 p38 296 N p3->p38
2068.7000 M57 2000000 2 414.7000 p22 p19 293 N p22->p48->p19
2072.7000 M59 2000000 2 357.7000 p8 p20 294 N p8->p48->p20
2077.1000 M50 2000000 2 635.1000 p36 p8 289 N p36->p24->p8
2091.7000 M64 2000000 4 222.7000 p5 p42 296 N p5->p25->p27->p23->p42
2134.5000 M45 2000000 2 839.5000 p44 p1 286 N p44->p49->p1
2150.2000 M69 2000000 1 133.2000 p13 p21 297 N p13->p21
2179.5000 M70 2000000 3 136.5000 p39 p43 297 N p39->p24->p18->p43
2182.0000 M74 2000000 1 12.0000 p2 p34 299 N p2->p34
2240.8000 M66 2000000 2 313.8000 p21 p41 294 N p21->p26->p41
2249.1000 M76 2000000 2 16.1000 p28 p21 299 N p28->p45->p21
2262.2000 M46 2000000 2 940.2000 p16 p38 284 N p16->p5->p38
2273.0000 M77 2000000 2 8.0000 p2 p28 299 N p2->p39->p28
2295.7000 M55 2000000 3 699.7000 p0 p25 288 N p0->p12->p34->p25
2313.2000 M61 2000000 2 541.2000 p32 p5 290 N p32->p49->p5
2337.1000 M71 2000000 3 264.1000 p38 p34 295 N p38->p28->p3->p34
2366.3000 M75 2000000 4 164.3000 p45 p30 297 N p45->p21->p18->p8->p30
2417.0000 M82 2000000 1 4.0000 p42 p30 299 N p42->p30
2446.0000 M83 2000000 1 4.0000 p0 p23 299 N p0->p23
2478.8000 M67 2000000 3 518.8000 p27 p32 291 N p27->p5->p16->p32
2512.5000 M48 2000000 2 1135.5000 p44 p11 281 N p44->p49->p11
2516.0000 M58 2000000 2 830.0000 p37 p7 286 N p37->p21->p7
2526.9000 M68 2000000 3 538.9000 p33 p32 291 N p33->p9->p27->p32
2552.7000 M72 2000000 1 445.7000 p30 p2 292 N p30->p2
2567.1000 M87 2000000 2 12.1000 p19 p29 299 N p19->p49->p29
2625.3000 M80 2000000 2 263.3000 p14 p33 295 N p14->p12->p33
2629.4000 M73 2000000 4 490.4000 p23 p33 291 N p23->p48->p43->p19->p33
2667.4000 M89 2000000 4 55.4000 p45 p20 299 N p45->p14->p27->p16->p20
2669.0000 M91 2000000 1 4.0000 p37 p44 299 N p37->p44
2739.9000 M88 2000000 2 152.9000 p31 p3 297 N p31->p20->p3
2745.3000 M85 2000000 2 251.3000 p36 p45 295 N p36->p41->p45
2783.6000 M81 2000000 1 396.6000 p31 p35 293 N p31->p35
2786.0000 M95 2000000 1 4.0000 p33 p29 299 N p33->p29
2814.0000 M96 2000000 1 4.0000 p31 p21 299 N p31->p21
2881.2000 M90 2000000 2 244.2000 p11 p18 295 N p11->p22->p18
2932.5000 M84 2000000 1 465.5000 p26 p34 292 N p26->p34
2938.8000 M97 2000000 1 98.8000 p46 p25 298 N p46->p25
3020.9000 M92 2000000 1 327.9000 p9 p25 294 N p9->p25
3044.6000 M86 2000000 2 521.6000 p34 p10 291 N p34->p44->p10
3078.8000 M101 2000000 4 125.8000 p34 p32 297 N p34->p37->p46->p7->p32
3098.7000 M94 2000000 3 344.7000 p38 p4 294 N p38->p16->p49->p4
