# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 3000000 p14 p4 300 N 
61.0000 M2 3000000 p44 p41 300 N 
86.0000 M3 3000000 p39 p30 300 N 
114.0000 M4 3000000 p28 p8 300 N 
142.0000 M5 3000000 p43 p4 300 N 
174.0000 M6 3000000 p30 p4 300 N 
200.0000 M7 3000000 p19 p42 300 N 
228.0000 M8 3000000 p43 p28 300 N 
261.0000 M9 3000000 p44 p40 300 N 
286.0000 M10 3000000 p18 p13 300 N 
314.0000 M11 3000000 p20 p45 300 N 
340.0000 M12 3000000 p23 p6 300 N 
366.0000 M13 3000000 p2 p23 300 N 
392.0000 M14 3000000 p33 p20 300 N 
420.0000 M15 3000000 p2 p36 300 N 
452.0000 M16 3000000 p26 p30 300 N 
486.0000 M17 3000000 p30 p1 300 N 
518.0000 M18 3000000 p27 p11 300 N 
544.0000 M19 3000000 p2 p48 300 N 
571.0000 M20 3000000 p23 p42 300 N 
604.0000 M21 3000000 p31 p44 300 N 
635.0000 M22 3000000 p10 p31 300 N 
663.0000 M23 3000000 p42 p24 300 N 
688.0000 M24 3000000 p26 p34 300 N 
722.0000 M25 3000000 p28 p46 300 N 
747.0000 M26 3000000 p37 p24 300 N 
773.0000 M27 3000000 p1 p44 300 N 
803.0000 M28 3000000 p37 p47 300 N 
834.0000 M29 3000000 p19 p43 300 N 
859.0000 M30 3000000 p24 p12 300 N 
888.0000 M31 3000000 p7 p0 300 N 
915.0000 M32 3000000 p11 p32 300 N 
947.0000 M33 3000000 p13 p18 300 N 
973.0000 M34 3000000 p45 p28 300 N 
998.0000 M35 3000000 p7 p1 300 N 
1027.0000 M36 3000000 p30 p16 300 N 
1060.0000 M37 3000000 p11 p39 300 N 
1085.0000 M38 3000000 p31 p38 300 N 
1115.0000 M39 3000000 p2 p3 300 N 
1144.0000 M40 3000000 p4 p3 300 N 
1176.0000 M41 3000000 p9 p35 300 N 
1202.0000 M42 3000000 p4 p8 300 N 
1235.0000 M43 3000000 p25 p26 300 N 
1264.0000 M44 3000000 p2 p31 300 N 
1295.0000 M45 3000000 p44 p1 300 N 
