# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
173.7000 M2 4000000 1 112.7000 p44 p41 298 N p44->p41
208.0000 M7 4000000 1 8.0000 p19 p42 299 N p19->p42
318.0000 M8 4000000 1 90.0000 p43 p28 298 N p43->p28
322.0000 M11 4000000 1 8.0000 p20 p45 299 N p20->p45
322.8000 M5 4000000 2 180.8000 p43 p4 296 N p43->p16->p4
334.1000 M10 4000000 1 48.1000 p18 p13 299 N p18->p13
523.3000 M1 4000000 2 491.3000 p14 p4 291 N p14->p5->p4
533.6000 M4 4000000 3 419.6000 p28 p8 293 N p28->p29->p44->p8
631.6000 M16 4000000 3 179.6000 p26 p30 297 N p26->p18->p13->p30
635.3000 M12 4000000 2 295.3000 p23 p6 295 N p23->p15->p6
665.2000 M9 4000000 3 404.2000 p44 p40 293 N p44->p47->p5->p40
690.2000 M17 4000000 2 204.2000 p30 p1 296 N p30->p14->p1
706.1000 M3 4000000 3 620.1000 p39 p30 289 N p39->p25->p11->p30
723.9000 M6 4000000 1 549.9000 p30 p4 290 N p30->p4
765.7000 M20 4000000 2 194.7000 p23 p42 296 N p23->p15->p42
830.7000 M24 4000000 3 142.7000 p26 p34 297 N p26->p13->p48->p34
856.7000 M25 4000000 1 134.7000 p28 p46 297 N p28->p46
891.7000 M27 4000000 1 118.7000 p1 p44 298 N p1->p44
901.3000 M23 4000000 3 238.3000 p42 p24 296 N p42->p9->p45->p24
920.9000 M30 4000000 1 61.9000 p24 p12 298 N p24->p12
1010.6000 M29 4000000 1 176.6000 p19 p43 297 N p19->p43
1018.8000 M26 4000000 1 271.8000 p37 p24 295 N p37->p24
1096.6000 M15 4000000 1 676.6000 p2 p36 288 N p2->p36
1136.1000 M34 4000000 2 163.1000 p45 p28 297 N p45->p9->p28
1151.8000 M35 4000000 2 153.8000 p7 p1 297 N p7->p49->p1
1184.0000 M41 4000000 1 8.0000 p9 p35 299 N p9->p35
1227.1000 M36 4000000 2 200.1000 p30 p16 296 N p30->p6->p16
1262.5000 M31 4000000 4 374.5000 p7 p0 293 N p7->p49->p16->p5->p0
1278.5000 M28 4000000 2 475.5000 p37 p47 292 N p37->p0->p47
1408.7000 M39 4000000 3 293.7000 p2 p3 295 N p2->p29->p39->p3
1460.2000 M40 4000000 1 316.2000 p4 p3 294 N p4->p3
1488.3000 M42 4000000 2 286.3000 p4 p8 295 N p4->p38->p8
1514.7000 M52 4000000 1 9.7000 p11 p33 299 N p11->p33
1518.2000 M22 4000000 2 883.2000 p10 p31 285 N p10->p13->p31
1571.0000 M54 4000000 1 8.0000 p26 p6 299 N p26->p6
1602.6000 M18 4000000 1 1084.6000 p27 p11 281 N p27->p11
1606.2000 M14 4000000 1 1214.2000 p33 p20 279 N p33->p20
1623.4000 M38 4000000 2 538.4000 p31 p38 291 N p31->p3->p38
1729.9000 M49 4000000 1 320.9000 p21 p4 294 N p21->p4
1755.1000 M21 4000000 3 1151.1000 p31 p44 280 N p31->p42->p9->p44
1758.5000 M53 4000000 3 227.5000 p6 p42 296 N p6->p26->p49->p42
1776.1000 M44 4000000 2 512.1000 p2 p31 291 N p2->p18->p31
1786.7000 M43 4000000 2 551.7000 p25 p26 290 N p25->p43->p26
1830.2000 M56 4000000 2 203.2000 p11 p5 296 N p11->p27->p5
1940.0000 M33 4000000 2 993.0000 p13 p18 283 N p13->p25->p18
1954.4000 M47 4000000 4 606.4000 p33 p2 289 N p33->p18->p47->p31->p2
1978.0000 M60 4000000 1 238.0000 p3 p38 296 N p3->p38
2043.5000 M65 4000000 2 149.5000 p24 p2 297 N p24->p39->p2
2044.7000 M46 4000000 2 722.7000 p16 p38 287 N p16->p25->p38
2072.7000 M57 4000000 2 418.7000 p22 p19 293 N p22->p48->p19
2076.9000 M50 4000000 3 634.9000 p36 p8 289 N p36->p24->p39->p8
2135.2000 M19 4000000 3 1591.2000 p2 p48 273 N p2->p41->p14->p48
2219.5000 M74 4000000 2 49.5000 p2 p34 299 N p2->p39->p34
2238.7000 M69 4000000 1 221.7000 p13 p21 296 N p13->p21
2251.1000 M55 4000000 3 655.1000 p0 p25 289 N p0->p46->p10->p25
2273.2000 M66 4000000 1 346.2000 p21 p41 294 N p21->p41
2302.3000 M71 4000000 3 229.3000 p38 p34 296 N p38->p28->p25->p34
2317.2000 M61 4000000 2 545.2000 p32 p5 290 N p32->p49->p5
2366.0000 M77 4000000 3 101.0000 p2 p28 298 N p2->p39->p24->p28
2379.3000 M64 4000000 1 510.3000 p5 p42 291 N p5->p42
2379.3000 M75 4000000 2 177.3000 p45 p30 297 N p45->p21->p30
2413.9000 M32 4000000 2 1498.9000 p11 p32 275 N p11->p8->p32
2425.0000 M63 4000000 2 589.0000 p42 p9 290 N p42->p36->p9
2427.5000 M82 4000000 1 14.5000 p42 p30 299 N p42->p30
2462.0000 M45 4000000 3 1167.0000 p44 p1 280 N p44->p29->p0->p1
2473.6000 M83 4000000 1 31.6000 p0 p23 299 N p0->p23
2479.5000 M58 4000000 4 793.5000 p37 p7 286 N p37->p48->p40->p5->p7
2535.4000 M67 4000000 1 575.4000 p27 p32 290 N p27->p32
2543.4000 M68 4000000 3 555.4000 p33 p32 290 N p33->p9->p27->p32
2569.3000 M72 4000000 2 462.3000 p30 p2 292 N p30->p29->p2
2640.2000 M80 4000000 2 278.2000 p14 p33 295 N p14->p19->p33
2648.2000 M73 4000000 2 509.2000 p23 p33 291 N p23->p19->p33
2650.9000 M59 4000000 3 935.9000 p8 p20 284 N p8->p45->p38->p20
2706.7000 M91 4000000 2 41.7000 p37 p44 299 N p37->p23->p44
2725.4000 M70 4000000 3 682.4000 p39 p43 288 N p39->p20->p31->p43
2739.4000 M79 4000000 2 411.4000 p11 p27 293 N p11->p22->p27
2749.3000 M85 4000000 2 255.3000 p36 p45 295 N p36->p41->p45
2795.0000 M81 4000000 1 408.0000 p31 p35 293 N p31->p35
2810.7000 M95 4000000 1 28.7000 p33 p29 299 N p33->p29
2824.9000 M84 4000000 2 357.9000 p26 p34 294 N p26->p27->p34
2825.0000 M96 4000000 1 15.0000 p31 p21 299 N p31->p21
2852.8000 M48 4000000 3 1475.8000 p44 p11 275 N p44->p49->p2->p11
2885.2000 M90 4000000 2 248.2000 p11 p18 295 N p11->p22->p18
2905.0000 M97 4000000 2 65.0000 p46 p25 298 N p46->p37->p25
2909.1000 M51 4000000 3 1437.1000 p17 p11 276 N p17->p31->p32->p11
2925.5000 M37 4000000 4 1865.5000 p11 p39 268 N p11->p23->p48->p40->p39
2985.9000 M62 4000000 2 1180.9000 p7 p12 280 N p7->p20->p12
3024.9000 M92 4000000 1 331.9000 p9 p25 294 N p9->p25
3175.2000 M104 4000000 3 132.2000 p17 p46 297 N p17->p31->p49->p46
3209.1000 M102 4000000 2 224.1000 p25 p36 296 N p25->p39->p36
3237.5000 M86 4000000 2 714.5000 p34 p10 288 N p34->p15->p10
